"Notes"	"State"	"State Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Enterocolitis due to Clostridium difficile"	"A04.7"	55	5074296	1.1
	"Alabama"	"01"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	31	5074296	0.6
	"Alabama"	"01"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	12	5074296	Unreliable
	"Alabama"	"01"	"Septicaemia, unspecified"	"A41.9"	1134	5074296	22.3
	"Alabama"	"01"	"Staphylococcal infection, unspecified"	"A49.0"	13	5074296	Unreliable
	"Alabama"	"01"	"Bacterial infection, unspecified"	"A49.9"	43	5074296	0.8
	"Alabama"	"01"	"Chronic viral hepatitis C"	"B18.2"	42	5074296	0.8
	"Alabama"	"01"	"HIV disease resulting in other specified conditions"	"B23.8"	18	5074296	Unreliable
	"Alabama"	"01"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	17	5074296	Unreliable
	"Alabama"	"01"	"Candidal septicaemia"	"B37.7"	15	5074296	Unreliable
	"Alabama"	"01"	"Unspecified mycosis"	"B49"	15	5074296	Unreliable
	"Alabama"	"01"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	28	5074296	0.6
	"Alabama"	"01"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	23	5074296	0.5
	"Alabama"	"01"	"Malignant neoplasm of parotid gland"	"C07"	12	5074296	Unreliable
	"Alabama"	"01"	"Major salivary gland, unspecified - Malignant neoplasms"	"C08.9"	12	5074296	Unreliable
	"Alabama"	"01"	"Tonsil, unspecified - Malignant neoplasms"	"C09.9"	16	5074296	Unreliable
	"Alabama"	"01"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	20	5074296	0.4
	"Alabama"	"01"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	10	5074296	Unreliable
	"Alabama"	"01"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	70	5074296	1.4
	"Alabama"	"01"	"Lower third of oesophagus - Malignant neoplasms"	"C15.5"	16	5074296	Unreliable
	"Alabama"	"01"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	216	5074296	4.3
	"Alabama"	"01"	"Cardia - Malignant neoplasms"	"C16.0"	14	5074296	Unreliable
	"Alabama"	"01"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	161	5074296	3.2
	"Alabama"	"01"	"Duodenum - Malignant neoplasms"	"C17.0"	15	5074296	Unreliable
	"Alabama"	"01"	"Caecum - Malignant neoplasms"	"C18.0"	19	5074296	Unreliable
	"Alabama"	"01"	"Appendix - Malignant neoplasms"	"C18.1"	17	5074296	Unreliable
